sequence,question_index,question_id,length_category,question_type,official_correct,output_status,observable_reason,metric_error,threshold,unit,candidate_count,reference_entry_ids,reference_all_in_candidate_pool,reference_entry_recall_in_pool,target_tokens,reference_target_token_coverage,diagnostic_flags,elapsed_seconds
0,0,LONG_5a6cef0c-175d-4779-bfd4-f7b193fb9039,long,time,True,valid,correct,0.4299999999999997,2.0,min,150,[183],True,1.0,"[""build"", ""leave""]",1.0,[],41.504438638687134
0,1,LONG_8f32d561-e898-453c-ae99-2e53745389e1,long,time,True,valid,correct,0.3699999999999992,2.0,min,174,[135],True,1.0,"[""build"", ""enter"", ""first""]",0.0,"[""reference_caption_target_token_gap_proxy""]",57.710182189941406
0,2,LONG_cbe5ca33-b001-47c4-9397-aca6d275e5e4,long,duration,False,valid,duration_threshold_miss,9.120000000000001,2.0,min,228,"[137, 183]",True,1.0,"[""build"", ""long""]",0.5,[],21.6246395111084
0,3,LONG_115fe136-a8ee-43f7-858d-a0a357c03fad,long,position,False,valid,position_threshold_miss,35.31801195531147,15.0,m,165,[161],True,1.0,"[""closest"", ""place"", ""sit""]",0.0,"[""reference_caption_target_token_gap_proxy""]",62.385154724121094
0,4,LONG_7213d1b5-0f7a-4361-b779-c6689042ae8a,long,position,True,valid,correct,0.0005423167600867588,15.0,m,241,[200],True,1.0,"[""call"", ""pole"", ""police"", ""yellow""]",0.5,[],54.43152141571045
0,5,LONG_74167a94-2255-4d16-bb78-db37801acc0a,long,position,False,invalid,generation_or_json_failure,,,,203,[123],True,1.0,"[""bill"", ""build"", ""computer"", ""front"", ""gate"", ""melinda"", ""science"", ""statue""]",0.125,"[""output_contract_failure""]",
0,6,LONG_f4661173-26c9-4939-824c-a238736d53ef,long,position,False,valid,position_threshold_miss,71.03141907291251,15.0,m,185,[165],True,1.0,"[""bin"", ""nearest"", ""recycl""]",0.6666666666666666,[],61.613324880599976
0,7,LONG_242c13b6-b47f-4022-9697-02611d770526,long,position,False,valid,position_threshold_miss,43.110520203610676,15.0,m,194,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],16.790615558624268
0,8,LONG_82e9a231-76cf-446e-9a04-4afd6c831b2d,long,binary,False,invalid,answer_type_mismatch,,,,198,[206],True,1.0,"[""brick"", ""busy"", ""sidewalk""]",0.6666666666666666,"[""output_contract_failure""]",42.79657578468323
0,9,LONG_38a496dc-1afd-4e26-b8b2-c6640cab0499,long,position,False,valid,position_threshold_miss,66.5692118469958,15.0,m,192,[175],True,1.0,"[""closest"", ""elevator""]",0.0,"[""reference_caption_target_token_gap_proxy""]",15.489487648010254
0,10,MEDIUM_3373f674-4a26-465b-9a08-8ca73651a0af,medium,text,False,valid,text_semantic_mismatch,0,1.0,,44,[133],False,0.0,"[""color"", ""door"", ""jacket"", ""open"", ""person"", ""wear"", ""who""]",0.5714285714285714,"[""reference_context_outside_candidate_pool""]",80.70215821266174
0,11,MEDIUM_28199d34-e26c-4b79-8775-943431d3a68a,medium,position,False,valid,position_threshold_miss,30.940286761903593,15.0,m,96,[123],True,1.0,"[""bill"", ""build"", ""computer"", ""front"", ""gate"", ""melinda"", ""science"", ""statue""]",0.125,[],22.200124979019165
0,12,MEDIUM_afd2f89f-f0b9-4082-9136-e2122475c3cd,medium,text,True,valid,correct,1,1.0,,73,[84],True,1.0,"[""brick"", ""sidewalk"", ""walk""]",0.3333333333333333,[],17.210023880004883
0,13,MEDIUM_02da6f10-4ce1-4eb3-a416-c4522e9c8133,medium,position,False,valid,position_threshold_miss,93.42328863433285,15.0,m,130,[161],True,1.0,"[""closest"", ""place"", ""sit""]",0.0,"[""reference_caption_target_token_gap_proxy""]",52.79022455215454
0,14,MEDIUM_9595c924-7840-4964-8bd0-d6e3080bcd65,medium,time,True,valid,correct,0.9500000000000002,2.0,min,104,[135],True,1.0,"[""build"", ""enter"", ""first""]",0.0,"[""reference_caption_target_token_gap_proxy""]",48.18515992164612
0,15,MEDIUM_11801608-016d-4367-8247-4a885afef25d,medium,position,False,valid,position_threshold_miss,98.74028664354411,15.0,m,64,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],14.388841390609741
0,16,MEDIUM_022ee3b7-38a6-4a36-9f48-fa656ea3cf21,medium,text,True,valid,correct,1,1.0,,104,[143],True,1.0,"[""build"", ""color"", ""couche"", ""enter"", ""near""]",0.2,[],36.118528842926025
0,17,MEDIUM_b5b98312-f881-422d-b2cb-4b9c5696948b,medium,time,True,valid,correct,0.11000000000000032,2.0,min,63,[206],True,1.0,"[""brick"", ""cross"", ""street""]",0.6666666666666666,[],73.59795260429382
0,18,MEDIUM_c6c87c47-04c3-44ca-a1be-053153b740c5,medium,position,True,valid,correct,2.867760710304438,15.0,m,94,[245],True,1.0,"[""bike"", ""empty"", ""nearest"", ""not"", ""rack""]",0.0,"[""reference_caption_target_token_gap_proxy""]",49.49473547935486
0,19,MEDIUM_254c3f52-e4ed-4828-ba85-42a500ff8676,medium,time,True,valid,correct,0.76,2.0,min,42,[144],True,1.0,"[""atrium"", ""couche"", ""red""]",1.0,[],45.781949520111084
0,20,SHORT_39a4eb19-b64e-4289-abcf-92ea6c3debba,short,duration,True,valid,correct,0.3700000000000001,2.0,min,28,"[183, 201]",True,1.0,"[""long"", ""outside""]",0.0,"[""reference_caption_target_token_gap_proxy""]",39.42400550842285
0,21,SHORT_37a3097f-a357-4af3-8a84-244e1b767ddf,short,time,True,valid,correct,0.1399999999999999,2.0,min,26,[183],True,1.0,"[""build"", ""leave""]",1.0,[],11.638007879257202
0,22,SHORT_31d323c2-930f-4111-85b0-d92e960ee600,short,text,True,valid,correct,1,1.0,,26,[105],True,1.0,"[""driv"", ""street""]",0.0,"[""reference_caption_target_token_gap_proxy""]",29.717969179153442
0,23,SHORT_bbfb623d-89d7-4698-9e91-be03c2720fc8,short,time,True,valid,correct,0.15666666666666673,2.0,min,33,[232],True,1.0,"[""brick"", ""off"", ""sidewalk""]",0.6666666666666666,[],34.18039155006409
0,24,SHORT_f20ba66d-74e4-4e2e-9a91-ac2576f16e0a,short,position,True,valid,correct,0.00044892214190237926,15.0,m,23,[258],True,1.0,"[""fire"", ""hydrant"", ""red""]",1.0,[],28.22578001022339
0,25,SHORT_a29d9195-acc1-46ea-a225-95816e21e802,short,text,True,valid,correct,1,1.0,,20,[188],True,1.0,"[""after"", ""build"", ""direction"", ""leav"", ""turn""]",0.0,"[""reference_caption_target_token_gap_proxy""]",29.027636528015137
0,26,SHORT_103d708a-b002-415c-ab49-ff02f654c490,short,binary,True,valid,correct,1,1.0,,11,[258],True,1.0,"[""fire"", ""hydrant"", ""red""]",1.0,[],21.092427730560303
0,27,SHORT_426931a9-038a-48a3-a27b-0f7b12948a81,short,binary,True,valid,correct,1,1.0,,25,[216],True,1.0,"[""any"", ""bicyclist""]",0.0,"[""reference_caption_target_token_gap_proxy""]",12.187804460525513
0,28,SHORT_b928a4aa-a1fb-4161-ad8c-78e6f1e78eca,short,position,True,valid,correct,0.0003142035327647379,15.0,m,34,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],13.719549417495728
0,29,SHORT_21548fa5-15ca-4f06-923e-a99b0fb2253a,short,binary,False,valid,binary_label_mismatch,0,1.0,,13,[265],True,1.0,"[""load"", ""now"", ""right"", ""stopp"", ""zone""]",0.6,[],12.547445297241211
3,0,3_LONG_82d00865-87f5-4e45-aa02-ecda9eec12ae,long,time,True,valid,correct,0.5500000000000007,2.0,min,197,[292],True,1.0,"[""emergency"", ""exit"", ""marker"", ""only""]",0.75,[],19.175487279891968
3,1,3_LONG_e9c21145-3a55-41a6-b48f-e8d0b1452fb3,long,binary,False,valid,binary_label_mismatch,0,1.0,,177,[326],True,1.0,"[""people"", ""red"", ""sitt"", ""sofa"", ""them""]",0.8,[],55.170039892196655
3,2,3_LONG_d7732615-983f-4dc0-8c52-1437b98b98ed,long,binary,True,valid,correct,1,1.0,,207,[262],True,1.0,"[""outdoor"", ""tree""]",0.5,[],39.3608193397522
3,3,3_LONG_3a877fd4-beaf-4f2f-b1dc-9d461707dd2d,long,position,False,invalid,required_field_null,,,,214,[314],False,0.0,"[""hourse"", ""sculpture""]",0.0,"[""reference_context_outside_candidate_pool"", ""output_contract_failure"", ""reference_caption_target_token_gap_proxy""]",41.58472275733948
3,4,3_LONG_73204feb-ee1c-4567-a836-fe2db05bfb23,long,position,True,valid,correct,10.208193872398775,15.0,m,418,[335],True,1.0,"[""chatt"", ""over"", ""people"", ""table""]",0.5,[],53.098468542099
