sequence,question_index,question_id,length_category,question_type,official_correct,output_status,observable_reason,metric_error,threshold,unit,candidate_count,reference_entry_ids,reference_all_in_candidate_pool,reference_entry_recall_in_pool,target_tokens,reference_target_token_coverage,diagnostic_flags,elapsed_seconds
0,0,LONG_5a6cef0c-175d-4779-bfd4-f7b193fb9039,long,time,True,valid,correct,0.09999999999999964,2.0,min,150,[183],True,1.0,"[""build"", ""leave""]",1.0,[],40.674168825149536
0,1,LONG_8f32d561-e898-453c-ae99-2e53745389e1,long,time,True,valid,correct,0.9699999999999998,2.0,min,174,[135],True,1.0,"[""build"", ""enter"", ""first""]",0.0,"[""reference_caption_target_token_gap_proxy""]",44.702211141586304
0,2,LONG_cbe5ca33-b001-47c4-9397-aca6d275e5e4,long,duration,False,valid,duration_threshold_miss,9.120000000000001,2.0,min,228,"[137, 183]",True,1.0,"[""build"", ""long""]",0.5,[],24.792171716690063
0,3,LONG_115fe136-a8ee-43f7-858d-a0a357c03fad,long,position,False,valid,position_threshold_miss,97.11004855989998,15.0,m,165,[161],True,1.0,"[""closest"", ""place"", ""sit""]",0.0,"[""reference_caption_target_token_gap_proxy""]",26.29003620147705
0,4,LONG_7213d1b5-0f7a-4361-b779-c6689042ae8a,long,position,True,valid,correct,2.8490981128461677,15.0,m,241,[200],True,1.0,"[""call"", ""pole"", ""police"", ""yellow""]",0.5,[],47.8935182094574
0,5,LONG_74167a94-2255-4d16-bb78-db37801acc0a,long,position,False,valid,position_threshold_miss,115.95932086506913,15.0,m,203,[123],True,1.0,"[""bill"", ""build"", ""computer"", ""front"", ""gate"", ""melinda"", ""science"", ""statue""]",0.125,[],32.693936824798584
0,6,LONG_f4661173-26c9-4939-824c-a238736d53ef,long,position,False,valid,position_threshold_miss,71.03141907291251,15.0,m,185,[165],True,1.0,"[""bin"", ""nearest"", ""recycl""]",0.6666666666666666,[],29.301647901535034
0,7,LONG_242c13b6-b47f-4022-9697-02611d770526,long,position,True,valid,correct,3.8379533115612334,15.0,m,194,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],47.20988941192627
0,8,LONG_82e9a231-76cf-446e-9a04-4afd6c831b2d,long,binary,True,valid,correct,1,1.0,,198,[206],True,1.0,"[""brick"", ""busy"", ""sidewalk""]",0.6666666666666666,[],23.922918796539307
0,9,LONG_38a496dc-1afd-4e26-b8b2-c6640cab0499,long,position,False,valid,position_threshold_miss,47.16905174082904,15.0,m,192,[175],True,1.0,"[""closest"", ""elevator""]",0.0,"[""reference_caption_target_token_gap_proxy""]",44.391499042510986
0,10,MEDIUM_3373f674-4a26-465b-9a08-8ca73651a0af,medium,text,True,valid,correct,1,1.0,,44,[133],False,0.0,"[""color"", ""door"", ""jacket"", ""open"", ""person"", ""wear"", ""who""]",0.5714285714285714,"[""reference_context_outside_candidate_pool""]",26.699313640594482
0,11,MEDIUM_28199d34-e26c-4b79-8775-943431d3a68a,medium,position,False,valid,position_threshold_miss,23.973443345653923,15.0,m,96,[123],True,1.0,"[""bill"", ""build"", ""computer"", ""front"", ""gate"", ""melinda"", ""science"", ""statue""]",0.125,[],85.8831033706665
0,12,MEDIUM_afd2f89f-f0b9-4082-9136-e2122475c3cd,medium,text,False,valid,text_semantic_mismatch,0,1.0,,73,[84],True,1.0,"[""brick"", ""sidewalk"", ""walk""]",0.3333333333333333,[],27.888001918792725
0,13,MEDIUM_02da6f10-4ce1-4eb3-a416-c4522e9c8133,medium,position,False,valid,position_threshold_miss,99.44256424803281,15.0,m,130,[161],True,1.0,"[""closest"", ""place"", ""sit""]",0.0,"[""reference_caption_target_token_gap_proxy""]",34.010356187820435
0,14,MEDIUM_9595c924-7840-4964-8bd0-d6e3080bcd65,medium,time,False,valid,time_threshold_miss,3.88,2.0,min,104,[135],True,1.0,"[""build"", ""enter"", ""first""]",0.0,"[""reference_caption_target_token_gap_proxy""]",24.282649278640747
0,15,MEDIUM_11801608-016d-4367-8247-4a885afef25d,medium,position,True,valid,correct,0.0003142035327647379,15.0,m,64,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],21.660043001174927
0,16,MEDIUM_022ee3b7-38a6-4a36-9f48-fa656ea3cf21,medium,text,False,valid,text_semantic_mismatch,0,1.0,,104,[143],True,1.0,"[""build"", ""color"", ""couche"", ""enter"", ""near""]",0.2,[],34.5084114074707
0,17,MEDIUM_b5b98312-f881-422d-b2cb-4b9c5696948b,medium,time,True,valid,correct,0.41000000000000014,2.0,min,63,[206],True,1.0,"[""brick"", ""cross"", ""street""]",0.6666666666666666,[],62.00504803657532
0,18,MEDIUM_c6c87c47-04c3-44ca-a1be-053153b740c5,medium,position,True,valid,correct,2.867760710304438,15.0,m,94,[245],True,1.0,"[""bike"", ""empty"", ""nearest"", ""not"", ""rack""]",0.0,"[""reference_caption_target_token_gap_proxy""]",39.687907457351685
0,19,MEDIUM_254c3f52-e4ed-4828-ba85-42a500ff8676,medium,time,True,valid,correct,0.010000000000000009,2.0,min,42,[144],True,1.0,"[""atrium"", ""couche"", ""red""]",1.0,[],39.28424835205078
0,20,SHORT_39a4eb19-b64e-4289-abcf-92ea6c3debba,short,duration,True,valid,correct,0.3700000000000001,2.0,min,28,"[183, 201]",True,1.0,"[""long"", ""outside""]",0.0,"[""reference_caption_target_token_gap_proxy""]",8.947571754455566
0,21,SHORT_37a3097f-a357-4af3-8a84-244e1b767ddf,short,time,True,valid,correct,0.1399999999999999,2.0,min,26,[183],True,1.0,"[""build"", ""leave""]",1.0,[],28.73965072631836
0,22,SHORT_31d323c2-930f-4111-85b0-d92e960ee600,short,text,False,valid,text_semantic_mismatch,0,1.0,,26,[105],True,1.0,"[""driv"", ""street""]",0.0,"[""reference_caption_target_token_gap_proxy""]",18.713329792022705
0,23,SHORT_bbfb623d-89d7-4698-9e91-be03c2720fc8,short,time,True,valid,correct,0.09000000000000008,2.0,min,33,[232],True,1.0,"[""brick"", ""off"", ""sidewalk""]",0.6666666666666666,[],67.37275671958923
0,24,SHORT_f20ba66d-74e4-4e2e-9a91-ac2576f16e0a,short,position,True,valid,correct,0.00044892214190237926,15.0,m,23,[258],True,1.0,"[""fire"", ""hydrant"", ""red""]",1.0,[],46.28328585624695
0,25,SHORT_a29d9195-acc1-46ea-a225-95816e21e802,short,text,False,valid,text_semantic_mismatch,0,1.0,,20,[188],True,1.0,"[""after"", ""build"", ""direction"", ""leav"", ""turn""]",0.0,"[""reference_caption_target_token_gap_proxy""]",45.812784910202026
0,26,SHORT_103d708a-b002-415c-ab49-ff02f654c490,short,binary,True,valid,correct,1,1.0,,11,[258],True,1.0,"[""fire"", ""hydrant"", ""red""]",1.0,[],32.09276342391968
0,27,SHORT_426931a9-038a-48a3-a27b-0f7b12948a81,short,binary,False,valid,binary_label_mismatch,0,1.0,,25,[216],True,1.0,"[""any"", ""bicyclist""]",0.0,"[""reference_caption_target_token_gap_proxy""]",19.368043184280396
0,28,SHORT_b928a4aa-a1fb-4161-ad8c-78e6f1e78eca,short,position,True,valid,correct,2.861717463305995,15.0,m,34,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],22.996018409729004
0,29,SHORT_21548fa5-15ca-4f06-923e-a99b0fb2253a,short,binary,True,valid,correct,1,1.0,,13,[265],True,1.0,"[""load"", ""now"", ""right"", ""stopp"", ""zone""]",0.6,[],19.038267850875854
3,0,3_LONG_82d00865-87f5-4e45-aa02-ecda9eec12ae,long,time,True,valid,correct,0.45000000000000107,2.0,min,197,[292],True,1.0,"[""emergency"", ""exit"", ""marker"", ""only""]",0.75,[],34.10802984237671
3,1,3_LONG_e9c21145-3a55-41a6-b48f-e8d0b1452fb3,long,binary,True,valid,correct,1,1.0,,177,[326],True,1.0,"[""people"", ""red"", ""sitt"", ""sofa"", ""them""]",0.8,[],43.59573721885681
3,2,3_LONG_d7732615-983f-4dc0-8c52-1437b98b98ed,long,binary,True,valid,correct,1,1.0,,207,[262],True,1.0,"[""outdoor"", ""tree""]",0.5,[],34.49497961997986
3,3,3_LONG_3a877fd4-beaf-4f2f-b1dc-9d461707dd2d,long,position,True,valid,correct,3.3205358302300056,15.0,m,214,[314],False,0.0,"[""hourse"", ""sculpture""]",0.0,"[""reference_context_outside_candidate_pool"", ""reference_caption_target_token_gap_proxy""]",40.188928842544556
3,4,3_LONG_73204feb-ee1c-4567-a836-fe2db05bfb23,long,position,True,valid,correct,1.2404380686242977,15.0,m,418,[335],True,1.0,"[""chatt"", ""over"", ""people"", ""table""]",0.5,[],34.209240674972534
3,5,3_LONG_fda7eae1-1531-42b5-be38-ed48540060a2,long,time,False,valid,time_threshold_miss,19.9,2.0,min,430,[452],True,1.0,"[""bike"", ""over""]",0.0,"[""reference_caption_target_token_gap_proxy""]",60.59522843360901
3,6,3_LONG_cd5d197f-b393-443e-8531-6e04ad2fe37d,long,time,False,valid,time_threshold_miss,6.3100000000000005,2.0,min,203,[213],True,1.0,"[""build"", ""exit"", ""first""]",0.3333333333333333,[],60.283838987350464
3,7,3_LONG_3c7ff5ee-ef38-4096-8ee6-9d9feaf9e9b2,long,binary,False,valid,binary_label_mismatch,0,1.0,,158,[277],True,1.0,"[""car"", ""park"", ""try""]",0.3333333333333333,[],28.766290187835693
3,8,3_LONG_5213d6a7-151d-4beb-b9c3-4321c5fd59b8,long,binary,False,valid,binary_label_mismatch,0,1.0,,352,[167],True,1.0,"[""build"", ""door"", ""enter"", ""hold"", ""person""]",0.6,[],19.820523977279663
3,9,3_LONG_84d8f2e1-734c-421b-8822-681b17756920,long,binary,True,valid,correct,1,1.0,,158,[328],True,1.0,"[""build"", ""stair""]",0.0,"[""reference_caption_target_token_gap_proxy""]",33.587719678878784
3,10,3_MEDIUM_bdb7c7ea-7e73-4565-9198-e10dfe218646,medium,position,False,valid,position_threshold_miss,81.92283411309592,15.0,m,45,[328],False,0.0,"[""build"", ""stair""]",0.0,"[""reference_context_outside_candidate_pool"", ""reference_caption_target_token_gap_proxy""]",88.72785115242004
3,11,3_MEDIUM_66435c41-e1c6-47b2-93c4-f4468f30dc18,medium,binary,True,valid,correct,1,1.0,,61,[161],True,1.0,"[""build""]",1.0,[],14.997233867645264
3,12,3_MEDIUM_5a271ce5-912d-4e28-9140-bb9921444f6f,medium,text,False,valid,text_semantic_mismatch,0,1.0,,115,[313],True,1.0,"[""color"", ""house"", ""sculpture""]",0.0,"[""reference_caption_target_token_gap_proxy""]",61.592265129089355
3,13,3_MEDIUM_598bd41e-8344-4d07-b894-fc1a39d4da6b,medium,text,False,valid,text_semantic_mismatch,0,1.0,,68,"[409, 429, 452, 455]",True,1.0,"[""cars"", ""many"", ""total""]",0.0,"[""reference_caption_target_token_gap_proxy""]",43.208550453186035
3,14,3_MEDIUM_2d60058c-1488-43dd-847c-d40bc1e2859f,medium,position,False,valid,position_threshold_miss,36.44652283315887,15.0,m,136,[314],False,0.0,"[""art"", ""big"", ""wall""]",0.3333333333333333,"[""reference_context_outside_candidate_pool""]",40.21443009376526
